item,item_id,2025-Năm,2024-Năm,2023-Năm,2022-Năm
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,4542.23,6053.11,6507.05,6334.29
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,26874.99,35105.74,29524.06,28662.57
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,12.66,15.07,12.34,12.63
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,2.14,2.6,2.72,2.79
Tỷ suất cổ tức,dividend_yield,0.78,0.0,0.0,0.0
Beta,beta,0.67,0.65,0.75,0.84
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,16.72,18.73,21.97,24.42
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,1.55,1.72,1.81,1.85
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,4.72,4.84,6.05,5.61
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,2.3,2.2,3.41,2.45
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,2.64,2.86,3.0,3.39
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,34.84,33.58,32.36,31.21
ROE bình quân 4 quý gần nhất,roe_trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,roa_trailling,0.0,0.0,0.0,0.0
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,4.22,2.41,10.37,35.95
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,3.98,2.42,10.48,35.93
Tăng trưởng tổng tài sản,total_assets,17.09,13.39,1.42,28.19
Tăng trưởng vốn chủ sở hữu,owners_equity,14.45,18.91,21.65,24.23
Tăng trưởng vốn điều lệ,charter_capital,49.5,0.0,18.1,27.6
Tăng trưởng dư nợ cho vay,deposits_from_customers,15.48,14.08,10.94,19.18
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,10.42,8.52,12.24,9.53
Tăng trưởng thu nhập lãi thuần,net_interest_income,6.07,3.33,0.7,25.96
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,-22.4,-6.42,-3.44,19.96
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,-32.45,-11.13,-15.49,-7.67
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,3.65,-0.56,-2.19,20.19
Tăng trưởng tổng chi phí HĐKD,operating_expenses,9.62,5.08,3.13,20.29
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,76.73,78.27,77.88,73.0
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,68.52,69.48,69.06,63.13
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,10.3,10.6,10.12,8.65
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,9.19,9.41,8.97,7.48
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-1.52,-2.2,-2.31,-2.21
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,98.22,98.62,98.75,96.94
